Titre;genre1;genre2;réalisateur_1;actor_1;actor 2;actor 3;note_presse;note_spectators;Scenar;nationality_1;distributor;language;real awards;first actor awards;Second actor awards;length_corrected;day;month;year;nomi;awards
Heureux les fêlés;Comédie dramatique;;Robert Coudray;Laurent Voiturin;Christophe Hamon;Jean Kergrtist;;good;Robert Coudray;France;Providence Films;Français;0.0;0.0;0.0;96;9;novembre;2022;0;0
High Heat;Action;Comédie;Zach Golden;Olga Kurylenko;Don Johnson;Dallas Page;;bad;James Pedersen;U.S.A.;;Anglais;0.0;0.0;0.0;84;20;avril;2023;0;0
Hinterland;Thriller;;Stefan Ruzowitzky;Murathan Muslu;Max von der Groeben;Liv Lisa Fries;3,1;soso;Stefan Ruzowitzky;Autriche;Eurozoom;Allemand;1.0;0.0;0.0;98;28;décembre;2022;0;0
Histoire(s) de Famille(s);Drame;;J.B. Braud;Saki Asamiya;Maximilien Seweryn;Kentez Asaka;;soso;;France;Origine Films;Français;0.0;0.0;0.0;75;16;mars;2022;0;0
Hocus Pocus 2;Comédie;Fantastique;Anne Fletcher;Bette Midler;Kathy Najimy;Sarah Jessica Parker;2,5;soso;Jen D'Angelo;U.S.A.;;Anglais;2.0;3.0;0.0;107;30;septembre;2022;0;0
HollyBlood;Comédie;Fantastique;Jesús Font;Oscar Casas;Isa Montalbán;Piero Méndez;;soso;José Pérez Quintero;Espagne;;Espagnol;0.0;0.0;0.0;88;7;septembre;2022;0;0
Hollywood Stargirl;Comédie;Comédie dramatique;Julia Hart;Grace VanderWaal;Uma Thurman;Judy Greer;;soso;Julia Hart;U.S.A.;;Anglais;0.0;0.0;2.0;105;3;juin;2022;0;0
Home Team;Comédie;Évènement Sportif;Charles Francis Kinnane;Kevin James;Taylor Lautner;Rob Schneider;;soso;Chris Titone;U.S.A.;;Anglais;0.0;1.0;1.0;95;28;janvier;2022;0;0
Home-Sitters;Action;;Chris Rakotomamonjy;Jorge Lorca;Chloé Guillot;François Gelay;;bad;Chris Rakotomamonjy;;;Anglais;0.0;0.0;0.0;85;20;septembre;2022;0;0
Hommes au bord de la crise de nerfs;Comédie;;Audrey Dana;Thierry Lhermitte;Ramzy Bedia;François-Xavier Demaison;3,1;soso;Claire Barré;France;Warner Bros. France;Français;2.0;4.0;1.0;97;25;mai;2022;4;0
Honk For Jesus. Save Your Soul.;Comédie;;Adamma Ebo;Regina Hall;Sterling K. Brown;Nicole Beharie;;soso;Adamma Ebo;U.S.A.;;Anglais;0.0;0.0;3.0;102;15;mai;2023;0;0
Honor Society;Comédie;Romance;Oran Zegman;Angourie Rice;Gaten Matarazzo;Christopher Mintz-Plasse;;good;David A. Goodman;U.S.A.;;Anglais;0.0;0.0;0.0;98;11;février;2023;0;0
Hopper et le hamster des ténèbres;Aventure;Animation;Ben Stassen;Thomas Solivérès;Chloé Jouannet;Nicolas Maury;3,3;good;Dave Collard;Belgique;Sony Pictures Releasing France;Français;11.0;0.0;1.0;91;16;février;2022;1;0
Houria;Drame;;Mounia Meddour;Lyna Khoudri;Rachida Brakni;Nadia Kaci;3,4;good;Mounia Meddour;France;Le Pacte;Français;1.0;3.0;3.0;104;15;mars;2023;7;0
House Party;Comédie;;Calmatic;Tosin Cole;Jacob Latimore;Allen Maldonado;;soso;Stephen Glover;U.S.A.;;Anglais;0.0;0.0;0.0;101;12;avril;2023;0;0
I Came By;Thriller;;Babak Anvari;Hugh Bonneville;George MacKay;Kelly Macdonald;;soso;Babak Anvari;Grande-Bretagne;;Anglais;3.0;5.0;1.0;110;31;août;2022;0;0
I love Greece;Comédie;;Nafsika Guerry-Karamaounas;Stacy Martin;Vincent Dedienne;Maria Apostolakea;2,5;soso;Nafsika Guerry-Karamaounas;France;Pyramide Distribution;Français;0.0;0.0;0.0;91;6;juillet;2022;0;0
I Want You Back;Comédie;Romance;Jason Orley;Charlie Day;Jenny Slate;Scott Eastwood;;soso;Isaac Aptaker;U.S.A.;;Anglais;0.0;1.0;1.0;111;11;février;2022;0;0
Il Croit au Père Noël;Comédie;Romance;Alex Ranarivelo;Christina Moore;John Ducey;Violet McGraw;;soso;John Ducey;U.S.A.;;Anglais;0.0;0.0;0.0;89;14;décembre;2022;0;0
Il était une fois 2;Aventure;Comédie;Adam Shankman;Amy Adams;Patrick Dempsey;James Marsden;2,8;soso;Brigitte Hales;U.S.A.;;Anglais;3.0;5.0;2.0;121;18;novembre;2022;0;0
Il faut sauver la boutique de Noël;Romance;;Bill Corcoran;Vanessa Lengies;Jesse Hutch;Lara Amersey;;good;Courtney McAllister;U.S.A.;TF1;Anglais;0.0;0.0;0.0;85;23;novembre;2022;0;0
Il filo invisibile;Comédie;Drame;Marco Simon Puccioni;Filippo Timi;Francesco Scianna;Francesco Gheghi;;soso;Marco Simon Puccioni;Italie;;Italien;3.0;6.0;0.0;90;4;mars;2022;0;0
Ima;Comédie;Romance;Nils Tavernier;Dadju;Karidja Touré;Djimo;2,8;soso;Laurent Bertoni;France;Pathé Live;Français;1.0;0.0;1.0;90;11;mai;2022;0;0
In The Heart of the Machine;Drame;Thriller;Martin Makariev;Bashar Rahal;Hristo Shopov;Alexander Sano;;soso;Boby Zahariev;Bulgarie;;Bulgare;0.0;0.0;0.0;115;7;décembre;2022;0;0
Incantation;Epouvante-horreur;;Kevin Ko;Hsuan-yen Tsai;Ying-Hsuan Kao;Sean Lin;;soso;Kevin Ko;Taïwan;;Chinois;0.0;0.0;0.0;110;8;juillet;2022;0;0
Incroyable mais vrai;Comédie;;Quentin Dupieux;Alain Chabat;Léa Drucker;Benoît Magimel;3,5;soso;Quentin Dupieux;France;Diaphana Distribution;Français;23.0;2.0;2.0;74;15;juin;2022;1;0
Infinite Storm;Action;Science Fiction;Malgorzata Szumowska;Naomi Watts;Billy Howle;Denis O'Hare;;bad;Joshua Rollins;U.S.A.;;Anglais;11.0;2.0;0.0;104;5;septembre;2022;0;0
Interceptor;Action;Drame;Matthew Reilly (II);Elsa Pataky;Luke Bracey;Aaron Glenane;;bad;Stuart Beattie;Australie;;Anglais;0.0;1.0;0.0;96;3;juin;2022;0;0
Interdit aux chiens et aux Italiens;Animation;;Alain Ughetto;Ariane Ascaride;Alain Ughetto;;3,9;excellent;Alain Ughetto;France;Gebeka Films;Français;1.0;4.0;1.0;70;25;janvier;2023;0;0
Into The Deep;Thriller;;Kate Cox;Ella-Rae Smith;Jessica Alexander;Matthew Daddario;;soso;David Beton;Grande-Bretagne;;Anglais;0.0;0.0;0.0;90;11;février;2023;0;0
Into the Wind;Drame;Romance;Kristoffer Rus;Sonia Mietielica;Jakub Sasak;Marcin Perchuc;;soso;;Pologne;;Polonais;0.0;0.0;0.0;107;10;février;2022;0;0
Inu-Oh;Animation;Drame;Masaaki Yuasa;Rémi Caillebot;Avu-chan;Maxime Donnay;3,8;good;Akiko Nogi;Japon;Star Invest Films France;Japonais;0.0;0.0;0.0;98;23;novembre;2022;4;0
Iravin Nizhal;Drame;Thriller;Parthiban;Parthiban;Varalaxmi Sarathkumar;Robo Shankar;;soso;Parthiban;Inde;Night ed films;Tamoul;0.0;0.0;0.0;128;24;juin;2022;0;0
Irréductible;Comédie;;Jérôme Commandeur;Jérôme Commandeur;Laetitia Dosch;Pascale Arbillot;2,9;good;Jérôme Commandeur;France;SND;Français;0.0;0.0;1.0;85;29;juin;2022;3;0
