Titre;date_sortie;duree;genre1;genre2;genre3;réalisateur_1;réalisateur_2;actor_1;actor 2;actor 3;note_presse;note spectators;link;link realisator;Scenar;nationality 1;nationality 2;distributor;nominations;budget;language;box-office;real awards;first actor awards;Second actor awards
La Légende du roi crabe;23 février 2022; 1h 39min ;Aventure;Drame;Historique;Alessio Rigo de Righi;Matteo Zoppis;Gabriele Silli;Maria Alexandra Lungu;Severino Sperandio;3,8;3,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=291823.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=609865.html;Alessio Rigo de Righi;Italie;France;Shellac;3            ;-;Italien, Espagnol;3 360 entrées;NA;NA;NA
La Main de Dieu;15 décembre 2021; 2h 14min ;Biopic;Drame;NA;Paolo Sorrentino;NA;Filippo Scotti;Toni Servillo;Teresa Saponangelo;3,6;3,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=285129.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=93843.html;Paolo Sorrentino;Italie;NA;NA;2         7            ;-;Italien;NA;10;NA;4
La merveilleuse boutique de Noël;2 novembre 2022; 1h 25min ;Comédie;Famille;Romance;Jody Margolin Hahn;NA;Mario López;Emeraude Toubia;Aimee Garcia;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=299143.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=119640.html;Cristela Alonzo;U.S.A.;NA;TF1;0;-;Anglais;NA;0;0;NA
La Méthode Williams;1 décembre 2021; 2h 25min ;Biopic;Drame;NA;Reinaldo Marcus Green;NA;Will Smith;Aunjanue Ellis;Saniyya Sidney;3,1;4,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=272238.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=631927.html;Zach Baylin;U.S.A.;NA;Warner Bros. France;3         11            ;-;Anglais;263 178 entrées;1;11;2
La Mif;9 mars 2022; 1h 50min ;Drame;NA;NA;Frédéric Baillif;NA;Claudia Grob;Anaïs Uldry;Kassia da Costa;3,4;2,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=290397.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=778680.html;Frédéric Baillif;Suisse;NA;L'Atelier Distribution;0;-;Français;2 513 entrées;NA;NA;NA
La Nuit aux amants;6 avril 2022; 1h 32min ;Romance;NA;NA;Julien Hilmoine;NA;Laura Muller;Schemci Lauth;NA;2,4;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=293161.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=934978.html;Julien Hilmoine;France;NA;Local Films;0;-;Français;259 entrées;NA;NA;NA
Là où se cache l'amour;30 mars 2021; 1h 24min ;Drame;Romance;NA;Paul Ziller;NA;Brooke d'Orsay;Brendan Penny;Emma Johnson;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=291784.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=142032.html;NA;Canada;NA;NA;0;-;Anglais;NA;0;0;0
La Pat’ Patrouille - Le film;11 août 2021; 1h 26min ;Aventure;Animation;Comédie;Cal Brunker;NA;Iain Armitage;Valentina;Marsai Martin;3,0;2,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=282238.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=447317.html;Cal Brunker;U.S.A.;Canada;Paramount Pictures France;0;-;Anglais;1 457 710 entrées;0;0;NA
La Place d'une autre;19 janvier 2022; 1h 52min ;Drame;Historique;NA;Aurélia Georges;NA;Lyna Khoudri;Sabine Azéma;Maud Wyler;3,4;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=279211.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=145724.html;Aurélia Georges;France;NA;Pyramide Distribution;1           ;-;Français;52 569 entrées;2;3;3
La Princesse de Chicago : en quête de l'étoile;18 novembre 2021; 1h 46min ;Comédie;Famille;Romance;Mike Rohl;NA;Vanessa Hudgens;Nick Sagar;Remy Hii;NA;2,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=286930.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=105830.html;Robin Bernheim;U.S.A.;NA;Netflix;0;-;Anglais;NA;0;3;0
