Titre;genre1;genre2;réalisateur_1;actor_1;actor_2;actor_3;note_presse;note_spectators;Scenar;nationality_1;distributor;language;real_awards;first_actor_awards;second_actor_awards;length_corrected;day;month;year;note_spectator_word;nomi
The Whole Truth;Drame;Epouvante-horreur;Wisit Sasanatieng;Sutatta Udomsilp;Mac Nattapat Nimjirawat;Nicole Theriault;;2.1;Abishek J. Bajaj;Thaïlande;;Thaï;1.0;0.0;0.0;125;2;décembre;2021;soso;0
The Winter Lake;Drame;Thriller;Phil Sheerin;Anson Boon;Emma Mackey;Charlie Murphy (II);;2.5;David Turpin;Irlande;;Anglais;0.0;0.0;0.0;92;23;juin;2022;soso;0
The Witcher : le cauchemar du Loup;Animation;Fantastique;Kwang Il Han;Theo James;Graham McTavish;Mary McDonnell;;3.8;Beau DeMayo;U.S.A.;;Anglais;0.0;0.0;0.0;83;23;août;2021;good;0
The Yin-Yang Master: Dream of Eternity;Action;Fantastique;Jingming Guo;Mark Chao;Allen Deng;Ziwen Wang;;3.5;Jingming Guo;Chine;;Chinois;0.0;0.0;0.0;132;9;septembre;2021;good;0
Thomas le dissident;Biopic;Drame;Andreas Kleinert;Albrecht Schuch;Jella Haase;Peter Kremer;;2.6;Thomas Wendrich;Allemagne;;Allemand;0.0;1.0;0.0;157;13;février;2023;soso;0
Thunder Force;Action;Comédie;Ben Falcone;Melissa McCarthy;Octavia Spencer;Jason Bateman;1.5;1.6;Ben Falcone;U.S.A.;;Anglais;0.0;6.0;5.0;105;9;avril;2021;bad;0
Tick, Tick…Boom!;Biopic;Drame;Lin-Manuel Miranda;Andrew Garfield;Vanessa Hudgens;Bradley Whitford;3.6;4.0;Steven Levenson;U.S.A.;;Anglais;6.0;10.0;3.0;121;19;novembre;2021;good;4
Till Death;Epouvante-horreur;Thriller;S.K. Dale;Megan Fox;Eoin Macken;Callan Mulvey;;2.4;Jason Carvey;U.S.A.;Metropolitan FilmExport;Anglais;0.0;1.0;0.0;90;19;août;2021;soso;0
Time Is Up;Drame;Romance;Elisa Amoruso;Bella Thorne;Benjamin Mascolo;Roberto Davide;;2.1;Elisa Amoruso;Italie;;Anglais;0.0;0.0;0.0;108;2;janvier;2022;soso;0
Titane;Drame;Epouvante-horreur;Julia Ducournau;Vincent Lindon;Agathe Rousselle;Garance Marillier;3.5;2.6;Julia Ducournau;France;Diaphana Distribution;Français;12.0;6.0;0.0;108;14;juillet;2021;soso;23
To Kill the Beast;Drame;Fantastique;Agustina San Martín;Tamara Rocca;Ana Brun;João Miguel;3.1;1.9;Agustina San Martín;Brésil;Jour2fête;Portugais;0.0;0.0;0.0;80;13;juillet;2022;bad;0
Toofaan;Action;Drame;Rakeysh Omprakash Mehra;Farhan Akhtar;Mrunal Thakur;Paresh Rawal;;3.0;Anjum Rajabali;Inde;;Hindi;4.0;1.0;0.0;163;15;juillet;2021;soso;0
