Titre;genre1;genre2;réalisateur_1;actor_1;actor_2;actor_3;note_presse;note_spectators;Scenar;nationality_1;distributor;language;real_awards;first_actor_awards;second_actor_awards;length_corrected;day;month;year;note_spectator_word;nomi
Laissons les morts engloutir les morts;Drame;;Paul-Anthony Mille;Stéphane Auvray-Nauroy;Olav Benestvedt;Stéphane Colle;;3.1;Pierre Mille;France;Saje Distribution;Français;0.0;0.0;0.0;96;4;mai;2022;good;0
Las niñas;Drame;;Pilar Palomero;Andrea Fandos;Natalia de Molina;Zoe Arnao;3.2;2.8;Pilar Palomero;Espagne;Epicentre Films;Espagnol;1.0;0.0;2.0;90;27;octobre;2021;soso;0
Lassie, La route de l'aventure;Aventure;Famille;Hanno Olderdissen;Nico Marischka;Sebastian Bezzel;Anna Maria Mühe;;2.5;Jane Ainscough;Allemagne;;Allemand;0.0;0.0;0.0;96;21;octobre;2020;soso;0
Last Words;Drame;Science Fiction;Jonathan Nossiter;Nick Nolte;Kalipha Touray;Charlotte Rampling;2.1;1.7;Jonathan Nossiter;Italie;Jour2fête;Anglais, Italien;2.0;1.0;0.0;126;21;octobre;2020;bad;6
Le 2e Amendement;Action;Thriller;Brian Skiba;Ryan Phillippe;Samaire Armstrong;Casper Van Dien;;1.5;Eric Bromberg;U.S.A.;;Anglais;0.0;1.0;0.0;93;14;avril;2021;bad;0
Le Bal des 41;Drame;Historique;David Pablos;Alfonso Herrera;Emiliano Zurita;Mabel Cadena;;3.4;Mónica Revilla;Mexique;;Espagnol;9.0;0.0;0.0;93;12;mai;2021;good;0
Le Beau rôle;Comédie;;Jamie Babbit;Drew Barrymore;Michael Zegen;T.J. Miller;;1.7;Sam Bain;U.S.A.;;Anglais;2.0;2.0;0.0;101;12;août;2021;bad;0
Le blues de Ma Rainey;Drame;Musical;George C. Wolfe;Viola Davis;Chadwick Boseman;Colman Domingo;3.8;3.0;Ruben Santiago-Hudson;U.S.A.;;Anglais;1.0;8.0;1.0;94;18;décembre;2020;soso;10
Le Bonheur des uns...;Comédie;;Daniel Cohen;Vincent Cassel;Bérénice Bejo;Florence Foresti;2.9;2.6;Daniel Cohen;France;SND;Français;4.0;7.0;5.0;100;9;septembre;2020;soso;0
Le Braquage du siècle;Comédie;Policier;Ariel Winograd;Guillermo Francella;Diego Peretti;Juan Alari;3.4;3.8;Alex Zito;Argentine;Eurozoom;Espagnol;0.0;0.0;0.0;114;8;septembre;2021;good;0
Le Bruit des trousseaux;Drame;;Philippe Claudel;Cyril Descours;Déborah François;Philippe Duquesne;;3.6;Philippe Claudel;France;France 2;Français;2.0;0.0;3.0;90;8;novembre;2021;good;0
Le Bruit du dehors;Drame;;Ted Fendt;Daniela Zahlner;Genevieve Havemeyer-King;Mia Sellmann;3.6;2.7;Daniela Zahlner;Allemagne;Shellac;Allemand;0.0;0.0;0.0;61;1;juillet;2022;soso;0
Le cahier de Tomy;Drame;;Carlos Sorín;Valeria Bertuccelli;Esteban Lamothe;Monica Antonopulos;;2.5;Carlos Sorín;Argentine;;Espagnol;1.0;0.0;0.0;84;24;novembre;2020;soso;0
Le Calendrier;Epouvante-horreur;Thriller;Patrick Ridremont;Eugénie Derouand;Honorine Magnier;Clément Olivieri;2.5;2.5;Patrick Ridremont;France;Alba Films;Français;3.0;1.0;0.0;104;1;décembre;2021;soso;0
Le Canal des secrets;Policier;;Julien Zidi;Annelise Hesme;Aurélien Wiik;Annie Grégorio;;3.4;Anne-Elisabeth Le Gal;France;France 3;Français;0.0;0.0;2.0;90;11;février;2020;good;0
Le Cas Richard Jewell;Drame;;Clint Eastwood;Paul Walter Hauser;Sam Rockwell;Kathy Bates;4.0;4.1;Billy Ray;U.S.A.;Warner Bros. France;Anglais;16.0;0.0;4.0;129;19;février;2020;excellent;2
Le Catcheur masqué;Action;;Jay Karas;Seth Carr;Tichina Arnold;Lucie Guest;;2.3;Zach Lewis;U.S.A.;;Anglais;0.0;0.0;0.0;101;10;avril;2020;soso;0
Le Collecteur de dettes 2;Action;Comédie;Jesse V. Johnson;Scott Adkins;Louis Mandylor;Vladimir Kulich;;2.6;Jesse V. Johnson;U.S.A.;;Anglais;0.0;0.0;0.0;97;25;octobre;2022;soso;0
Le Cygne Des Héros;Comédie dramatique;;Claude Saussereau;Rachel Nasschaert;Raphaël Almosni;Paul Linte;;3.7;Claude Saussereau;France;Mitiki;Français;0.0;0.0;0.0;76;12;janvier;2022;good;0
Le Cygne et la Princesse: un mariage royal;Animation;Famille;Richard Rich;Nina Herzog;Yuri Lowenthal;Joseph Medrano;;2.0;;U.S.A.;;Anglais;0.0;0.0;0.0;83;3;août;2020;bad;0
Le Dernier Piano;Drame;;Jimmy Keyrouz;Tarek Yaacoub;Rola Baksmati;Mounir Maasri;2.8;3.8;Jimmy Keyrouz;Liban;Alba Films;Arabe;0.0;0.0;0.0;110;13;avril;2022;good;1
Le Dernier voyage;Aventure;Drame;Romain Quirot;Hugo Becker;Jean Reno;Paul Hamy;2.9;2.4;Romain Quirot;France;Tandem;Français;0.0;0.0;1.0;87;19;mai;2021;soso;0
Le Diable au cœur;Drame;;Christian Faure;Zabou Breitman;Yvon Back;Maxence Danet-Fauvel;3.2;2.0;Bernard Minier;France;France 2;Français;1.0;1.0;0.0;90;9;décembre;2020;bad;0
Le Diable n'existe pas;Drame;;Mohammad Rasoulof;Ehsan Mirhosseini;Shaghayegh Shourian;Kaveh Ahangar;4.1;4.1;Mohammad Rasoulof;Allemagne;Pyramide Distribution;Perse;5.0;0.0;0.0;152;1;décembre;2021;excellent;0
Le Diable, tout le temps;Drame;Thriller;Antonio Campos;Tom Holland;Robert Pattinson;Haley Bennett;3.5;3.7;Antonio Campos;U.S.A.;;Anglais;23.0;1.0;8.0;138;21;septembre;2020;good;0
Le Disciple;Drame;;Chaitanya Tamhane;Aditya Modak;Arun Dravid;Sumitra Bhave;4.0;2.7;Chaitanya Tamhane;Inde;;Hindi, Bengali, Anglais;0.0;0.0;0.0;127;30;avril;2021;soso;0
Le Discours;Comédie;;Laurent Tirard;Benjamin Lavernhe;Sara Giraudeau;Julia Piaton;3.3;3.4;Laurent Tirard;France;Le Pacte;Français;1.0;4.0;2.0;88;9;juin;2021;good;5
Le Goût de la haine;Drame;Thriller;Jan Komasa;Maciej Musialowski;Vanessa Aleksander;Danuta Stenka;;3.8;Mateusz Pacewicz;Pologne;Netflix;Polonais;9.0;0.0;0.0;136;23;septembre;2021;good;0
Le goût du vin;Drame;;Prentice Penny;Mamoudou Athie;Courtney B. Vance;Niecy Nash;;2.8;Prentice Penny;U.S.A.;Netflix France;Anglais;0.0;0.0;1.0;104;27;mars;2020;soso;0
Le Grand Restaurant : Réouverture après travaux;Comédie;;Romuald Boulanger;Pierre Palmade;Pierre Arditi;Malik Bentalha;3.1;2.7;;France;M6;Français;0.0;1.0;3.0;90;3;février;2021;soso;0
Le Jardin secret;Drame;Famille;Marc Munden;Dixie Egerickx;Colin Firth;Julie Walters;;2.5;Jack Thorne;U.S.A.;Canal +;Anglais;1.0;0.0;7.0;100;22;juillet;2022;soso;0
Le Jour où ma fille a été enlevée;Drame;;Ben Meyerson;Andrea Bogart;Paige Searcy;Lucas Adams;;2.8;Adam Meyer;U.S.A.;TF1;Anglais;0.0;0.0;0.0;90;1;septembre;2020;soso;0
Le lien du sang;Drame;Thriller;Tatsushi Ōmori;Masami Nagasawa;Daiken Okudaira;Sadao Abe;;3.2;Tatsushi Ōmori;Japon;;Japonais;0.0;0.0;0.0;126;3;septembre;2021;good;0
Le Loup et le lion;Aventure;Famille;Gilles de Maistre;Molly Kunz;Graham Greene (II);Charlie Carrick;2.8;3.6;Prune de Maistre;France;StudioCanal;Anglais;2.0;0.0;1.0;100;13;octobre;2021;good;0
Le Mariage de Rosa;Comédie;;Icíar Bollaín;Candela Peña;Sergi López;Nathalie Poza;;2.9;Icíar Bollaín;Espagne;;Espagnol;9.0;1.0;1.0;98;21;juillet;2021;soso;1
Le masseur;Comédie;Comédie dramatique;Malgorzata Szumowska;Alec Utgoff;Maja Ostaszewska;Agata Kulesza;;2.8;Malgorzata Szumowska;Pologne;;Polonais, Russe, Français, Vietnamien;11.0;0.0;0.0;116;26;avril;2023;soso;0
Le Mauvais oeil;Epouvante-horreur;Thriller;Elan Dassani;Sarita Choudhury;Sunita Mani;Bernard White;;1.7;Madhuri Shekar;U.S.A.;;Anglais, Hindi;0.0;0.0;0.0;90;13;octobre;2020;bad;0
Le Parrain de Mario Puzo, épilogue : la mort de Michael Corleone;Policier;Drame;Francis Ford Coppola;Al Pacino;Andy Garcia;Diane Keaton;;4.3;Francis Ford Coppola;U.S.A.;Paramount Pictures France;Anglais, Italien;11.0;13.0;4.0;158;8;décembre;2020;excellent;0
Le Pardon;Drame;;Maryam Moghadam;Maryam Moghadam;Alireza Sani Far;Pouria Rahimi;3.5;3.6;Maryam Moghadam;Iran;KMBO;Farsi;0.0;0.0;0.0;106;27;octobre;2021;good;8
Le Peuple Loup;Aventure;Animation;Tomm Moore;Lévanah Solomon;Honor Kneafsey;Lana Ropion;4.2;4.3;Will Collins;Irlande;Haut et Court;Anglais;2.0;0.0;0.0;103;20;octobre;2021;excellent;3
Le Prédateur;Drame;;Marco Berger;Lautaro Rodríguez;Patricio Almeida Rodriguez;Juan Barberini;;2.4;Marco Berger;Argentine;;Espagnol;1.0;0.0;0.0;101;16;mars;2023;soso;0
Le prédateur de ma fille;Thriller;;Colin Theys;Sarah Wisser;Houston Stevenson;Felicity Mason;;2.5;;U.S.A.;;Anglais;0.0;0.0;0.0;88;1;août;2021;soso;0
Le Prix de la trahison;Policier;Drame;François Guérin (II);Mimie Mathy;Mathieu Delarive;Juliette Chêne;2.9;3.1;Laurent Mondy;France;;Français;0.0;0.0;0.0;90;13;mars;2023;good;0
Le Procès de l'herboriste;Biopic;Drame;Agnieszka Holland;Ivan Trojan;Josef Trojan;Juraj Loj;3.0;3.5;Marek Epstein;Pologne;KMBO;Tchèque;2.0;0.0;0.0;119;30;juin;2021;good;0
Le rêve brisé de ma fille : Droguée par sa coach;Drame;;David Langlois;Margaret Anne Florence;Anita Brown;Karis Cameron;;2.9;;U.S.A.;;Anglais;0.0;0.0;0.0;89;1;février;2021;soso;0
Le Rythme de la jungle;Animation;Famille;Brent Dawes;David Menkin;Ed Kear;David Rintoul;;2.1;Brent Dawes;Maurice;;Anglais;0.0;0.0;0.0;89;26;octobre;2020;soso;0
Le Saut de l'ange;Policier;;Mirjam Unger;Patricia Aulitzky;Maresi Riegner;Fritz Egger;;3.2;Eva Testor;Allemagne;;Allemand;0.0;0.0;0.0;90;1;mai;2023;good;0
Le Saut du diable;Policier;Drame;Abel Ferry;Philippe Bas;Maïra Schmitt;Armelle Deutsch;2.9;2.8;Eric Rondeaux;France;TF1;Français;0.0;0.0;0.0;90;17;juin;2021;soso;0
Le secret de ma voisine;Drame;Thriller;Sarah Pellerin;Aviva Mongillo;Bree Turner;Steve Byers;;3.0;Barbara Kymlicka;Canada;;Anglais;0.0;0.0;0.0;90;29;janvier;2021;soso;0
Le Sel des larmes;Drame;Romance;Philippe Garrel;Logann Antuofermo;Oulaya Amamra;André Wilms;3.5;2.7;Philippe Garrel;France;Ad Vitam;Français;5.0;0.0;2.0;100;15;juillet;2020;soso;1
Le Sens de la famille;Comédie;;Jean-Patrick Benes;Alexandra Lamy;Franck Dubosc;Christiane Millet;3.0;2.6;Jean-Patrick Benes;France;Gaumont Distribution;Français;1.0;3.0;4.0;92;30;juin;2021;soso;1
Le Seul et unique Ivan;Animation;Comédie;Thea Sharrock;Bryan Cranston;Sam Rockwell;Fred Testot;;3.2;Mike White;U.S.A.;;Anglais;0.0;8.0;4.0;95;11;septembre;2020;good;2
Le Soleil reviendra;Drame;;Cheyenne Carron;Florence Eugene;Morgane Housset;Sabrina Verrier;3.3;3.1;;France;Carron Distribution;Français;0.0;0.0;0.0;120;6;octobre;2020;good;0
Le temps de s'aimer;Comédie;Romance;Christie Will Wolf;Cindy Busby;Christopher Russell;Donna Benedicto;;2.6;Barbara Kymlicka;U.S.A.;;Anglais;0.0;0.0;0.0;83;27;avril;2021;soso;0
Le Temps des luttes;Biopic;Drame;Andrea Adriatico;Nicola Di Benedetto;Sandra Ceccarelli;Antonio Catania;;3.3;Andrea Adriatico;Italie;;Italien, Anglais;0.0;0.0;1.0;112;6;octobre;2020;good;0
Le Test;Comédie;Famille;Emmanuel Poulain-Arnaud;Alexandra Lamy;Philippe Katerine;Matteo Perez;3.4;3.1;Emmanuel Poulain-Arnaud;France;Apollo Films;Français;0.0;3.0;3.0;79;29;décembre;2021;good;1
Le Testament de grand-mère;Comédie;;Javier Colinas;Susana Alexander;Luis Arrieta;Enrique Becker;;3.0;Miguel García Moreno;Mexique;;Espagnol;0.0;0.0;0.0;95;25;décembre;2020;soso;0
Le Traducteur;Drame;Thriller;Rana Kazkaz;Ziad Bakri;Yumna Marwan;David Field;3.2;2.9;Rana Kazkaz;Syrie;Alba Films;Arabe, Anglais;0.0;0.0;0.0;105;13;octobre;2021;soso;0
Le Voyage d'Ana;Comédie dramatique;;Pamela Varela;Astrid Adverbe;Dimitra Kontou;Maritza Gonzalez;3.7;3.0;Pamela Varela;France;Cinéma Saint-André des Arts;Français, Espagnol;13.0;0.0;0.0;88;29;septembre;2021;soso;0
Le Voyage du Dr Dolittle;Comédie;Famille;Stephen Gaghan;Robert Downey Jr.;Antonio Banderas;Jessie Buckley;2.2;2.9;Stephen Gaghan;U.S.A.;Universal Pictures International France;Anglais;3.0;4.0;3.0;102;5;février;2020;soso;6
Légionnaire;Action;Aventure;Jose Magan;Mickey Rourke;Bai Ling;Joaquim de Almeida;;1.6;Alberto Vazquez Figueroa;U.S.A.;;Anglais;0.0;4.0;0.0;96;30;septembre;2021;bad;0
Lego DC Shazam : Monstres et magie;Animation;;Matt Peters;Sean Astin;Dee Bradley Baker;Troy Baker;;2.7;Jeremy Adams;U.S.A.;;Anglais;0.0;1.0;0.0;81;17;juin;2020;soso;0
Les 12 rendez-vous de Noël;Romance;;Gary Yates;Mallory Jansen;Tyler Hynes;Cherissa Richards;;2.9;Christine Conradt;U.S.A.;TF1;Anglais;1.0;0.0;0.0;84;16;novembre;2021;soso;0
Les 2 Alfred;Comédie;;Bruno Podalydès;Denis Podalydès;Sandrine Kiberlain;Bruno Podalydès;3.8;3.4;Bruno Podalydès;France;UGC Distribution;Français;2.0;10.0;4.0;92;16;juin;2021;good;2
Les Amants sacrifiés;Drame;Historique;Kiyoshi Kurosawa;Yû Aoi;Issey Takahashi;Masahiro Higashide;3.9;3.2;Ryūsuke Hamaguchi;Japon;Art House;Japonais;3.0;0.0;0.0;115;8;décembre;2021;good;0
Les Amours de Beyto;Drame;Romance;Gitta Gsell;Burak Ateş;Dimitri Stapfer;Ecem Aydın;;3.0;Gitta Gsell;Suisse;;Suisse allemand, Turc;0.0;0.0;0.0;98;1;février;2016;soso;0
Les Animaux anonymes;Fantastique;Thriller;Baptiste Rouveure;Thierry Marcos;Pauline Guilpain;Aurélien Chilarski;2.8;2.3;Baptiste Rouveure;France;Anonymous Animals;Muet;0.0;0.0;0.0;64;29;septembre;2021;soso;1
Les Aventures d'un mathématicien;Biopic;Drame;Thorsten Klein;Philippe Tlokinski;Esther Garrel;Sam Keeley;2.5;2.8;Thorsten Klein;Allemagne;Rezo Films;Anglais, Polonais;0.0;0.0;1.0;103;1;décembre;2021;soso;0
Les Aventuriers du bout du monde;Aventure;Famille;Rick Spalla;Denise Richards;Malcolm McDowell;Casey Simpson;;2.1;;U.S.A.;;Anglais;0.0;0.0;2.0;105;8;décembre;2021;soso;0
Les Basses besognes;Comédie dramatique;Policier;Carlos Moreno;Christian Tappan;Anderson Ballesteros;Jhon Álex Toro;;2.6;Antonio García (III);Colombie;;Espagnol;9.0;0.0;0.0;103;5;mars;2021;soso;0
Les Bouchetrous;Aventure;Animation;David Silverman;Adam Devine;Rachel Bloom;Ken Jeong;2.9;2.1;Joel Cohen;U.S.A.;SND;Anglais;5.0;0.0;1.0;84;26;mai;2021;soso;0
Les chasseurs de la nuit;Thriller;;Michael Caissie;Katrina Bowden;Jay Mohr;Spencer Daniels;;1.3;Michael Caissie;U.S.A.;;Anglais;0.0;0.0;0.0;82;4;avril;2022;bad;0
Les Choses qu’on dit, les choses qu’on fait;Comédie;Drame;Emmanuel Mouret;Camélia Jordana;Niels Schneider;Vincent Macaigne;4.3;3.6;Emmanuel Mouret;France;Pyramide Distribution;Français;1.0;1.0;2.0;122;16;septembre;2020;good;23
Les chroniques de Noël 2;Aventure;Comédie;Chris Columbus;Darby Camp;Kurt Russell;Goldie Hawn;;2.9;Chris Columbus;U.S.A.;;Anglais;3.0;0.0;1.0;112;25;novembre;2020;soso;0
Les Cobayes;Comédie;Romance;Emmanuel Poulain-Arnaud;Thomas Ngijol;Judith Chemla;Dominique Valadié;;2.4;Emmanuel Poulain-Arnaud;France;Metropolitan FilmExport;Français;0.0;1.0;1.0;80;10;novembre;2021;soso;1
Les Crimes qui nous lient;Policier;Drame;Sebastián Schindel;Cecilia Roth;Miguel Angel Sola;Sofía Gala;;2.9;Sebastián Schindel;Argentine;;Espagnol;0.0;0.0;0.0;99;21;août;2020;soso;0
Les Croods 2 : une nouvelle ère;Aventure;Animation;Joel Crawford;Nicolas Cage;Ryan Reynolds;Emma Stone;3.5;3.3;Dan Hageman;U.S.A.;Universal Pictures International France;Anglais;0.0;3.0;5.0;96;7;juillet;2021;good;1
Les Désaccords du cœur;Drame;Romance;Richard Tanne;Lili Reinhart;Austin Abrams;Sarah Jones;;3.4;Richard Tanne;U.S.A.;;Anglais;0.0;0.0;0.0;93;12;janvier;2011;good;0
Les Enfants de Windermere;Drame;Historique;Michael Samuels;Thomas Kretschmann;Romola Garai;Iain Glen;;3.9;Simon Block;Allemagne;France 3;Anglais;0.0;0.0;4.0;90;27;novembre;2020;good;0
Les Enfants du soleil;Drame;;Majid Majidi;Ali Nassirian;Javad Ezati;Tannaz Tabatabaei;3.6;3.8;Nima Javidi;Iran;Bodega Films;Farsi;8.0;0.0;0.0;99;29;décembre;2021;good;0
Les Evadés de Santiago;Action;Thriller;David Albala;Benjamín Vicuña;Amparo Noguera;Roberto Farías;;3.2;David Albala;Chili;;Espagnol;0.0;0.0;0.0;135;1;février;2016;good;0
Les Fantasmes;Comédie;Romance;Stéphane Foenkinos;Karin Viard;Jean-Paul Rouve;Ramzy Bedia;2.5;2.0;Stéphane Foenkinos;France;Gaumont Distribution;Français;11.0;11.0;4.0;101;18;août;2021;bad;1
Les Graines que l'on sème;Drame;;Nathan Nicholovitch;Ghaïs Ourabah-Bertout;Clémentine Billy;Marie Clément;3.0;2.9;Nathan Nicholovitch;France;Nour Films;Français;16.0;0.0;0.0;77;23;février;2022;soso;0
Les Héritiers;Policier;Drame;Jean-Marc Brondolo;Pierre Perrier;Carole Weyers;Idir Chender;;3.1;Olivier Kohn;France;France 2;Français;0.0;0.0;1.0;90;13;septembre;2021;good;0
Les Jeunes amants;Romance;;Carine Tardieu;Fanny Ardant;Melvil Poupaud;Cécile de France;3.6;3.9;Carine Tardieu;France;Diaphana Distribution;Français;12.0;3.0;7.0;112;2;février;2022;good;4
Les Liens maudits;Drame;Epouvante-horreur;Domenico Emanuele de Feudis;Riccardo Scamarcio;Mia Maestro;Federica Rosellini;;1.7;Daniele Cosci;Italie;;Italien;0.0;0.0;0.0;93;23;septembre;2021;bad;0
Les Lois de la Frontière;Action;Policier;Daniel Monzón;Marcos Ruiz;Begoña Vargas;Chechu Salgado;;3.5;Jorge Guerricaechevarria;Espagne;;Espagnol;0.0;0.0;0.0;127;22;novembre;2021;good;0
Les malheurs de Ruby;Drame;;Gail Harvey;Raechelle Banno;Karina Banno;Gil Bellows;;3.2;Richard Blaney;U.S.A.;TF1;Anglais;0.0;0.0;0.0;90;4;octobre;2021;good;0
Les Minions 2 : Il était une fois Gru;Action;Animation;Kyle Balda;Gad Elmaleh;Steve Carell;Gérard Darmon;3.2;3.5;Matthew Fogel;U.S.A.;Universal Pictures International France;Anglais;1.0;1.0;10.0;88;6;juillet;2022;good;1
Les Mystères de Barcelone;Policier;Thriller;Lluis Danès;Nora Navas;Roger Casamajor;Bruna Cusí;3.4;3.4;Maria Jaén;Espagne;Destiny Films;Espagnol, Catalan;0.0;2.0;0.0;103;28;septembre;2022;good;0
Les Mystères de la chorale;Policier;;Emmanuelle Dubergey;Nicolas Marié;Maud Baecker;Fabrice Deville;2.4;2.6;Philippe Le Dem;France;France 3;Français;0.0;1.0;0.0;90;13;février;2021;soso;0
Les Mystères des Majorettes;Policier;;Lorenzo Gabriele;Isabelle Vitari;Alexandre Varga;Marie Bunel;;2.9;Laure Duthilleul;France;France 3;Français;0.0;0.0;0.0;90;30;mai;2020;soso;0
Les Nouveaux mutants;Fantastique;Epouvante-horreur;Josh Boone;Maisie Williams;Anya Taylor-Joy;Charlie Heaton;2.3;2.1;Josh Boone;U.S.A.;The Walt Disney Company France;Anglais;1.0;2.0;1.0;93;26;août;2020;soso;0
Les Ondes du souvenir;Policier;;Sylvie Ayme;Gaëlle Bona;David Kammenos;Mhamed Arezki;3.1;2.6;Gilles Cahoreau;France;France 3;Français;0.0;1.0;0.0;90;12;décembre;2020;soso;0
Les Opposés s'attirent;Comédie;Drame;Mike Mosallam;Haaz Sleiman;Michael Cassidy;Veronica Cartwright;;3.2;Mike Mosallam;U.S.A.;;Anglais, Arabe;0.0;1.0;0.0;92;20;octobre;2022;good;0
Les petits miracles de Noël;Romance;;Linda-Lisa Hayter;Rukiya Bernard;Antonio Cayonne;Holly Robinson Peete;;2.6;Zac Hug;U.S.A.;TF1;Anglais;0.0;0.0;0.0;84;16;décembre;2021;soso;0
Les Phénomènes;Aventure;Drame;Felix Binder;Cornelia Gröschel;Tim Oliver Schultz;Wotan Wilke Möhring;;2.4;Marc O. Seng;Allemagne;;Allemand;0.0;0.0;0.0;90;2;septembre;2020;soso;0
Les Sandales blanches;Drame;;Christian Faure;Amel Bent;Naidra Ayadi;Mhamed Arezki;;3.6;Christian Faure;France;France 2;Français;1.0;0.0;1.0;90;25;janvier;2021;good;0
Les Sans-dents;Comédie;;Pascal Rabaté;Yolande Moreau;Gustave Kervern;François Morel;1.8;1.7;Pascal Rabaté;France;Jour2fête;Français;3.0;11.0;6.0;85;20;avril;2022;bad;0
Les Savants;Comédie;Drame;Sudhir Mishra;Nawazuddin Siddiqui;Indira Tiwari;Aakshath Das;;2.6;Abhijeet Khuman;Inde;;Hindi;0.0;0.0;0.0;114;2;octobre;2020;soso;0
Les Sentiers de l'oubli;Drame;Romance;Nicol Ruiz Benavides;Rosa Ramírez Ríos;Romana Satt;Gabriela Arancibia;3.0;3.3;Nicol Ruiz Benavides;Chili;Outplay Films;Espagnol;0.0;0.0;0.0;71;4;août;2021;good;0
Les Sept de Chicago;Drame;Historique;Aaron Sorkin;Yahya Abdul-Mateen II;Sacha Baron Cohen;Joseph Gordon-Levitt;4.4;4.2;Aaron Sorkin;U.S.A.;;Anglais;5.0;1.0;4.0;129;16;octobre;2020;excellent;14
Les Travaux et les Jours - Partie 1;Drame;;Anders Edström;Tayoko Shiojiri;Hiroharu Shikata;Ryô Kase;4.4;3.7;C.W. Winter;U.S.A.;Capricci Films;Japonais, Suédois, Anglais;0.0;0.0;0.0;213;22;juin;2022;good;0
Les Travaux et les Jours - Partie 2;Drame;;Anders Edström;Tayoko Shiojiri;Hiroharu Shikata;Ryô Kase;4.4;3.4;C.W. Winter;U.S.A.;Capricci Films;Japonais, Suédois, Anglais;0.0;0.0;0.0;130;22;juin;2022;good;0
Les Travaux et les Jours - Partie 3;Drame;;Anders Edström;Tayoko Shiojiri;Hiroharu Shikata;Ryô Kase;4.4;3.4;C.W. Winter;U.S.A.;Capricci Films;Anglais, Suédois, Japonais;0.0;0.0;0.0;148;22;juin;2022;good;0
Les Trolls 2 - Tournée mondiale;Animation;Comédie;David P. Smith;Vitaa;Anna Kendrick;Matt Pokora;2.8;2.5;Jonathan Aibel;U.S.A.;Universal Pictures International France;Anglais;0.0;0.0;4.0;94;14;octobre;2020;soso;0
Les Tuche 4;Comédie;;Olivier Baroux;Jean-Paul Rouve;Isabelle Nanty;Michel Blanc;3.0;1.8;Olivier Baroux;France;Pathé;Français;2.0;4.0;1.0;101;8;décembre;2021;bad;1
Let Us In;Science Fiction;;Craig Moss;Makenzie Moss;O'Neill Monahan;Eric Callero;;1.9;Craig Moss;U.S.A.;;Anglais;0.0;0.0;0.0;79;14;janvier;2022;bad;0
Liés pour la vie;Drame;;Jean-Marc Rudnicki;Laëtitia Milot;Francois Vincentelli;Cristiana Réali;2.8;3.4;Caroline Franc;France;TF1;Français;1.0;1.0;0.0;90;13;mars;2023;good;0
Life in a Year;Drame;Romance;Mitja Okorn;Jaden Smith;Cara Delevingne;Nia Long;;3.5;Jeffrey Addiss;U.S.A.;;Anglais;0.0;4.0;0.0;107;28;janvier;2020;good;0
Like a Boss;Comédie;;Miguel Arteta;Tiffany Haddish;Rose Byrne;Salma Hayek;;1.7;Adam Cole-Kelly;U.S.A.;;Anglais;10.0;1.0;1.0;84;8;mai;2020;bad;0
Little Big Women;Drame;;Joseph Chen-Chieh Hsu;Ch'en Shu-fang;Ying-Hsuan Hsieh;Vivian Hsu;;3.4;Joseph Chen-Chieh Hsu;Taïwan;;Mandarin, Chinois;0.0;0.0;0.0;123;3;septembre;2021;good;0
Loin de moi, près de toi;Animation;Fantastique;Jun'ichi Satô;Natsuki Hanae;Mirai Shida;Kôichi Yamadera;;3.8;Mari Okada;Japon;;Japonais;0.0;0.0;0.0;104;18;juin;2020;good;0
London Fight Club;Action;Thriller;James Kermack;Olivier Richters;Kate Dickie;Phil Davis;;2.5;James Kermack;Grande-Bretagne;;Anglais;0.0;0.0;0.0;105;22;septembre;2021;soso;0
Lorelei;Drame;;Sabrina Doyle;Pablo Schreiber;Jena Malone;Gretchen Corbett;;3.4;Sabrina Doyle;U.S.A.;;Anglais;0.0;1.0;2.0;111;7;avril;2022;good;5
Los Conductos;Drame;;Camilo Restrepo;Luis Lozano;Fernando Úsaga Higuíta;;;2.8;Camilo Restrepo;France;;Espagnol;1.0;0.0;0.0;70;23;novembre;2022;soso;2
Los Fuertes;Drame;Romance;Omar Zúñiga Hidalgo;Samuel González;Antonio Altamirano;Marcela Salinas;3.0;3.6;Omar Zúñiga Hidalgo;Chili;Optimale Distribution;Espagnol;0.0;0.0;0.0;98;4;mai;2022;good;0
Losers Revolution;Comédie;;Thomas Ancora;Clément Manuel;Thomas Ancora;Kody Kim;;2.2;Thomas Ancora;Belgique;;Français;0.0;0.0;0.0;89;11;mars;2020;soso;0
Lost Girls;Drame;Thriller;Liz Garbus;Amy Ryan;Thomasin McKenzie;Gabriel Byrne;;2.6;Michael Werwie;U.S.A.;;Anglais;5.0;1.0;0.0;95;24;octobre;2022;soso;0
Louloute;Comédie dramatique;;Hubert Viel;Alice Henri;Laure Calamy;Bruno Clairefond;3.5;3.2;Hubert Viel;France;Tandem;Français;0.0;0.0;2.0;88;18;août;2021;good;0
Louxor;Drame;Romance;Zeina Durra;Andrea Riseborough;Michael Landes;Sherine Reda;2.9;2.6;Zeina Durra;Egypte;Rezo Films;Anglais, Arabe;0.0;1.0;0.0;86;21;juillet;2021;soso;0
Love After Love;Drame;Erotique;Ann Hui;Ma Sichun;Feihong Yu;Eddie Peng;;3.1;;Chine;;Mandarin, Chinois;3.0;0.0;0.0;144;18;mars;2022;good;0
Love Aaj Kal;Bollywood;Romance;Imtiaz Ali;Kartik Aaryan;Sara Ali Khan;Randeep Hooda;;3.0;;Inde;Friday Entertainment;Hindi;1.0;0.0;0.0;140;14;février;2020;soso;0
