Titre;date_sortie;duree;genre1;genre2;genre3;réalisateur_1;réalisateur_2;actor_1;actor 2;actor 3;note_presse;note spectators;link;link realisator;Scenar;nationality 1;nationality 2;distributor;nominations;budget;language;box-office;real awards;first actor awards;Second actor awards
Calvin et Tyco;24 mars 2020; 1h 24min ;Comédie;Famille;NA;Charles Haid;NA;Kyle Orlando Massey;Kay Panabaker;Mitchel Musso;NA;2,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=177848.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=440.html;Eddie Guzelian;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;0
Cam;16 novembre 2018; 1h 34min ;Epouvante-horreur;Thriller;NA;Daniel Goldhaber;NA;Madeline Brewer;Patch Darragh;Melora Walters;NA;2,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=266485.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=847232.html;Isa Mazzei;U.S.A.;NA;Netflix France;0;-;Anglais;NA;NA;1;0
Camarade Drakula;8 février 2023; 1h 35min ;Comédie;Fantastique;NA;Márk Bodzsár;NA;Lili Walters;Ervin Nagy;Zsolt Nagy;NA;2,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=285686.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=880798.html;Márk Bodzsár;Hongrie;NA;NA;0;-;Hongrois, Vietnamien, Russe;NA;NA;NA;0
Camarades;19 mai 1970; 1h 25min ;Drame;NA;NA;Marin Karmitz;NA;Jean-Paul Giquel;Juliet Berto;Dominique Labourier;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=3611.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=9011.html;Lia Wajntal;France;NA;NA;0;-;Français;NA;1;0;1
Cambio de sexo (Je veux être femme);23 novembre 2022; 1h 48min ;Drame;NA;NA;Vicente Aranda;NA;Victoria Abril;Lou Castel;Fernando Sancho;3,8;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=38183.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=8105.html;Vicente Aranda;Espagne;NA;Karmafilms Distribution;0;-;Espagnol;NA;2;1;0
Caméléone;9 octobre 1996; 1h 32min ;Policier;NA;NA;Benoît Cohen;NA;Chiara Mastroianni;Seymour Cassel;Antoine Chappey;NA;2,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=15443.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=24912.html;Benoît Cohen;France;NA;NA;0;-;Français;NA;4;1;1
Camelot;15 février 2012; 2h 59min ;Aventure;NA;NA;Joshua Logan;NA;Richard Harris;Vanessa Redgrave;Franco Nero;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=31701.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=3975.html;Alan Jay Lerner;U.S.A.;NA;NA;3         2            ;17 000 000 $;Anglais;NA;1;1;7
Caméra Café, 20 ans déjà;24 janvier 2023; 1h 33min ;Comédie;NA;NA;Bruno Solo;Yvan Le Bolloc'h;Bruno Solo;Yvan Le Bolloc'h;Armelle;NA;2,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=302803.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=2172.html;Alexandre Aspergis;France;NA;M6;0;-;Français;NA;3;3;3
Camera d'albergo;24 juin 1981; 1h 45min ;Comédie;NA;NA;Mario Monicelli;NA;Vittorio Gassman;Monica Vitti;Enrico Montesano;NA;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=114588.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=3793.html;Mario Monicelli;France;Italie;NA;0;-;Italien;NA;5;2;2
Camille;16 octobre 2019; 1h 30min ;Biopic;Drame;NA;Boris Lojkine;NA;Nina Meurisse;Fiacre Bindala;Bruno Todeschini;3,7;4,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=268292.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=171205.html;Boris Lojkine;France;NA;Pyramide Distribution;3         3            ;-;Français;61 975 entrées;1;2;NA
Chillar Party;19 juillet 2022; 2h 15min ;Comédie dramatique;Famille;NA;Vikas Bahl;Nitesh Tiwari;Irrfan Khan;Sanath Menon;Rohan Grover;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=287927.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=508798.html;NA;Inde;NA;NA;0;-;Hindi, Anglais, Autre;NA;0;0;NA
Child's Play : La poupée du mal;19 juin 2019; 1h 30min ;Epouvante-horreur;NA;NA;Lars Klevberg;NA;Mark Hamill;Aubrey Plaza;Gabriel Bateman;3,0;2,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=265918.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=762264.html;Tyler Burton Smith;U.S.A.;NA;Paramount Pictures France;0;-;Hindi, Anglais, Autre;199 016 entrées;NA;0;1
Children;4 juin 2008; 1h 33min ;Drame;Epouvante-horreur;NA;Ragnar Bragason;Richard Friedman;Joan Severance;Nína Dögg Filippusdóttir;Alison Brie;3,2;3,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=134723.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=202328.html;Ragnar Bragason;U.S.A.;Islande;ASC Distribution;0;-;Islandais;NA;0;0;0
Children of the Corn V: Fields of Terror;6 juillet 2021; 1h 23min ;Fantastique;Epouvante-horreur;Thriller;Ethan Wiley;NA;Alexis Arquette;Eva Mendes;Greg Vaughan;NA;2,5;https://www.allocine.fr/film/fichefilm_gen_cfilm=282264.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=77987.html;NA;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;1
Children of the Dust;1 janvier 1998; 2h 55min ;Western;NA;NA;David Greene;NA;Sidney Poitier;Billy Wirth;Michael Moriarty;NA;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=124367.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=35121.html;Joyce Eliason;U.S.A.;NA;NA;0;-;Anglais;NA;3;7;0
Children of the Revolution;3 mars 1999; 1h 41min ;Comédie;NA;NA;Peter Duncan;NA;Sam Neill;Judy Davis;Rachel Griffiths;3,0;2,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=14538.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=23922.html;Peter Duncan;Australie;NA;NA;0;-;Anglais;NA;0;2;3
Childstar;13 septembre 2005; 1h 38min ;Comédie;NA;NA;Don McKellar;NA;Don McKellar;Jennifer Jason Leigh;Gil Bellows;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=59651.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=17803.html;Don McKellar;Canada;NA;NA;0;-;Anglais;NA;0;0;6
Chillerama;16 octobre 2017; 1h 55min ;Comédie;Epouvante-horreur;NA;Adam Green (VI);Joe Lynch;Adam Rifkin;Sarah Mutch;Ray Wise;NA;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=196378.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=138043.html;Adam Rifkin;U.S.A.;NA;NA;0;-;Anglais, Allemand;NA;0;0;NA
Chili 1976;22 mars 2023; 1h 35min ;Drame;NA;NA;Manuela Martelli;NA;Aline Küppenheim;Nicolás Sepúlveda;Hugo Medina;3,6;3,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=303483.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=101703.html;Manuela Martelli;Chili;NA;Dulac Distribution;4            ;-;Espagnol;48 463 entrées;0;0;NA
Chili con carne;29 septembre 1999; 1h 43min ;Comédie;NA;NA;Thomas Gilou;NA;Antoine de Caunes;Valentina Vargas;Gilbert Melki;2,3;1,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=20606.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=4621.html;Florence Gilardo;France;NA;Océan Films;0;-;Français;NA;1;5;0
